PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Name
1,0,3,male,22,1,0,A/5 21171,7.25,,S,"Braund, Mr. Owen Harris"
2,1,1,female,38,1,0,PC 17599,71.2833,C85,C,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
3,1,3,female,26,0,0,STON/O2. 3101282,7.925,,S,"Heikkinen, Miss. Laina"
4,1,1,female,35,1,0,113803,53.1,C123,S,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
5,0,3,male,35,0,0,373450,8.05,,S,"Allen, Mr. William Henry"
6,0,3,male,,0,0,330877,8.4583,,Q,"Moran, Mr. James"
7,0,1,male,54,0,0,17463,51.8625,E46,S,"McCarthy, Mr. Timothy J"
8,0,3,male,2,3,1,349909,21.075,,S,"Palsson, Master. Gosta Leonard"
9,1,3,female,27,0,2,347742,11.1333,,S,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
10,1,2,female,14,1,0,237736,30.0708,,C,"Nasser, Mrs. Nicholas (Adele Achem)"
11,1,3,female,4,1,1,PP 9549,16.7,G6,S,"Sandstrom, Miss. Marguerite Rut"
12,1,1,female,58,0,0,113783,26.55,C103,S,"Bonnell, Miss. Elizabeth"
13,0,3,male,20,0,0,A/5. 2151,8.05,,S,"Saundercock, Mr. William Henry"
14,0,3,male,39,1,5,347082,31.275,,S,"Andersson, Mr. Anders Johan"
15,0,3,female,14,0,0,350406,7.8542,,S,"Vestrom, Miss. Hulda Amanda Adolfina"
16,1,2,female,55,0,0,248706,16,,S,"Hewlett, Mrs. (Mary D Kingcome) "
17,0,3,male,2,4,1,382652,29.125,,Q,"Rice, Master. Eugene"
18,1,2,male,,0,0,244373,13,,S,"Williams, Mr. Charles Eugene"
19,0,3,female,31,1,0,345763,18,,S,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
20,1,3,female,,0,0,2649,7.225,,C,"Masselmani, Mrs. Fatima"
21,0,2,male,35,0,0,239865,26,,S,"Fynney, Mr. Joseph J"
22,1,2,male,34,0,0,248698,13,D56,S,"Beesley, Mr. Lawrence"
23,1,3,female,15,0,0,330923,8.0292,,Q,"McGowan, Miss. Anna ""Annie"""
24,1,1,male,28,0,0,113788,35.5,A6,S,"Sloper, Mr. William Thompson"
25,0,3,female,8,3,1,349909,21.075,,S,"Palsson, Miss. Torborg Danira"
26,1,3,female,38,1,5,347077,31.3875,,S,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
27,0,3,male,,0,0,2631,7.225,,C,"Emir, Mr. Farred Chehab"
28,0,1,male,19,3,2,19950,263,C23 C25 C27,S,"Fortune, Mr. Charles Alexander"
29,1,3,female,,0,0,330959,7.8792,,Q,"O'Dwyer, Miss. Ellen ""Nellie"""
30,0,3,male,,0,0,349216,7.8958,,S,"Todoroff, Mr. Lalio"
31,0,1,male,40,0,0,PC 17601,27.7208,,C,"Uruchurtu, Don. Manuel E"
32,1,1,female,,1,0,PC 17569,146.5208,B78,C,"Spencer, Mrs. William Augustus (Marie Eugenie)"
33,1,3,female,,0,0,335677,7.75,,Q,"Glynn, Miss. Mary Agatha"
34,0,2,male,66,0,0,C.A. 24579,10.5,,S,"Wheadon, Mr. Edward H"
35,0,1,male,28,1,0,PC 17604,82.1708,,C,"Meyer, Mr. Edgar Joseph"
36,0,1,male,42,1,0,113789,52,,S,"Holverson, Mr. Alexander Oskar"
37,1,3,male,,0,0,2677,7.2292,,C,"Mamee, Mr. Hanna"
38,0,3,male,21,0,0,A./5. 2152,8.05,,S,"Cann, Mr. Ernest Charles"
39,0,3,female,18,2,0,345764,18,,S,"Vander Planke, Miss. Augusta Maria"
40,1,3,female,14,1,0,2651,11.2417,,C,"Nicola-Yarred, Miss. Jamila"
41,0,3,female,40,1,0,7546,9.475,,S,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
42,0,2,female,27,1,0,11668,21,,S,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
43,0,3,male,,0,0,349253,7.8958,,C,"Kraeff, Mr. Theodor"
44,1,2,female,3,1,2,SC/Paris 2123,41.5792,,C,"Laroche, Miss. Simonne Marie Anne Andree"
45,1,3,female,19,0,0,330958,7.8792,,Q,"Devaney, Miss. Margaret Delia"
46,0,3,male,,0,0,S.C./A.4. 23567,8.05,,S,"Rogers, Mr. William John"
47,0,3,male,,1,0,370371,15.5,,Q,"Lennon, Mr. Denis"
48,1,3,female,,0,0,14311,7.75,,Q,"O'Driscoll, Miss. Bridget"
49,0,3,male,,2,0,2662,21.6792,,C,"Samaan, Mr. Youssef"
50,0,3,female,18,1,0,349237,17.8,,S,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
51,0,3,male,7,4,1,3101295,39.6875,,S,"Panula, Master. Juha Niilo"
52,0,3,male,21,0,0,A/4. 39886,7.8,,S,"Nosworthy, Mr. Richard Cater"
53,1,1,female,49,1,0,PC 17572,76.7292,D33,C,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
54,1,2,female,29,1,0,2926,26,,S,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
55,0,1,male,65,0,1,113509,61.9792,B30,C,"Ostby, Mr. Engelhart Cornelius"
56,1,1,male,,0,0,19947,35.5,C52,S,"Woolner, Mr. Hugh"
57,1,2,female,21,0,0,C.A. 31026,10.5,,S,"Rugg, Miss. Emily"
58,0,3,male,28.5,0,0,2697,7.2292,,C,"Novel, Mr. Mansouer"
59,1,2,female,5,1,2,C.A. 34651,27.75,,S,"West, Miss. Constance Mirium"
60,0,3,male,11,5,2,CA 2144,46.9,,S,"Goodwin, Master. William Frederick"
61,0,3,male,22,0,0,2669,7.2292,,C,"Sirayanian, Mr. Orsen"
62,1,1,female,38,0,0,113572,80,B28,,"Icard, Miss. Amelie"
63,0,1,male,45,1,0,36973,83.475,C83,S,"Harris, Mr. Henry Birkhardt"
64,0,3,male,4,3,2,347088,27.9,,S,"Skoog, Master. Harald"
65,0,1,male,,0,0,PC 17605,27.7208,,C,"Stewart, Mr. Albert A"
66,1,3,male,,1,1,2661,15.2458,,C,"Moubarek, Master. Gerios"
67,1,2,female,29,0,0,C.A. 29395,10.5,F33,S,"Nye, Mrs. (Elizabeth Ramell)"
68,0,3,male,19,0,0,S.P. 3464,8.1583,,S,"Crease, Mr. Ernest James"
69,1,3,female,17,4,2,3101281,7.925,,S,"Andersson, Miss. Erna Alexandra"
70,0,3,male,26,2,0,315151,8.6625,,S,"Kink, Mr. Vincenz"
71,0,2,male,32,0,0,C.A. 33111,10.5,,S,"Jenkin, Mr. Stephen Curnow"
72,0,3,female,16,5,2,CA 2144,46.9,,S,"Goodwin, Miss. Lillian Amy"
73,0,2,male,21,0,0,S.O.C. 14879,73.5,,S,"Hood, Mr. Ambrose Jr"
74,0,3,male,26,1,0,2680,14.4542,,C,"Chronopoulos, Mr. Apostolos"
75,1,3,male,32,0,0,1601,56.4958,,S,"Bing, Mr. Lee"
76,0,3,male,25,0,0,348123,7.65,F G73,S,"Moen, Mr. Sigurd Hansen"
77,0,3,male,,0,0,349208,7.8958,,S,"Staneff, Mr. Ivan"
78,0,3,male,,0,0,374746,8.05,,S,"Moutal, Mr. Rahamin Haim"
79,1,2,male,0.83,0,2,248738,29,,S,"Caldwell, Master. Alden Gates"
80,1,3,female,30,0,0,364516,12.475,,S,"Dowdell, Miss. Elizabeth"
81,0,3,male,22,0,0,345767,9,,S,"Waelens, Mr. Achille"
82,1,3,male,29,0,0,345779,9.5,,S,"Sheerlinck, Mr. Jan Baptist"
83,1,3,female,,0,0,330932,7.7875,,Q,"McDermott, Miss. Brigdet Delia"
84,0,1,male,28,0,0,113059,47.1,,S,"Carrau, Mr. Francisco M"
85,1,2,female,17,0,0,SO/C 14885,10.5,,S,"Ilett, Miss. Bertha"
86,1,3,female,33,3,0,3101278,15.85,,S,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
87,0,3,male,16,1,3,W./C. 6608,34.375,,S,"Ford, Mr. William Neal"
88,0,3,male,,0,0,SOTON/OQ 392086,8.05,,S,"Slocovski, Mr. Selman Francis"
89,1,1,female,23,3,2,19950,263,C23 C25 C27,S,"Fortune, Miss. Mabel Helen"
90,0,3,male,24,0,0,343275,8.05,,S,"Celotti, Mr. Francesco"
91,0,3,male,29,0,0,343276,8.05,,S,"Christmann, Mr. Emil"
92,0,3,male,20,0,0,347466,7.8542,,S,"Andreasson, Mr. Paul Edvin"
93,0,1,male,46,1,0,W.E.P. 5734,61.175,E31,S,"Chaffee, Mr. Herbert Fuller"
94,0,3,male,26,1,2,C.A. 2315,20.575,,S,"Dean, Mr. Bertram Frank"
95,0,3,male,59,0,0,364500,7.25,,S,"Coxon, Mr. Daniel"
96,0,3,male,,0,0,374910,8.05,,S,"Shorney, Mr. Charles Joseph"
97,0,1,male,71,0,0,PC 17754,34.6542,A5,C,"Goldschmidt, Mr. George B"
98,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C,"Greenfield, Mr. William Bertram"
99,1,2,female,34,0,1,231919,23,,S,"Doling, Mrs. John T (Ada Julia Bone)"
100,0,2,male,34,1,0,244367,26,,S,"Kantor, Mr. Sinai"
101,0,3,female,28,0,0,349245,7.8958,,S,"Petranec, Miss. Matilda"
102,0,3,male,,0,0,349215,7.8958,,S,"Petroff, Mr. Pastcho (""Pentcho"")"
103,0,1,male,21,0,1,35281,77.2875,D26,S,"White, Mr. Richard Frasar"
104,0,3,male,33,0,0,7540,8.6542,,S,"Johansson, Mr. Gustaf Joel"
105,0,3,male,37,2,0,3101276,7.925,,S,"Gustafsson, Mr. Anders Vilhelm"
106,0,3,male,28,0,0,349207,7.8958,,S,"Mionoff, Mr. Stoytcho"
107,1,3,female,21,0,0,343120,7.65,,S,"Salkjelsvik, Miss. Anna Kristine"
108,1,3,male,,0,0,312991,7.775,,S,"Moss, Mr. Albert Johan"
109,0,3,male,38,0,0,349249,7.8958,,S,"Rekic, Mr. Tido"
110,1,3,female,,1,0,371110,24.15,,Q,"Moran, Miss. Bertha"
111,0,1,male,47,0,0,110465,52,C110,S,"Porter, Mr. Walter Chamberlain"
112,0,3,female,14.5,1,0,2665,14.4542,,C,"Zabour, Miss. Hileni"
113,0,3,male,22,0,0,324669,8.05,,S,"Barton, Mr. David John"
114,0,3,female,20,1,0,4136,9.825,,S,"Jussila, Miss. Katriina"
115,0,3,female,17,0,0,2627,14.4583,,C,"Attalah, Miss. Malake"
116,0,3,male,21,0,0,STON/O 2. 3101294,7.925,,S,"Pekoniemi, Mr. Edvard"
117,0,3,male,70.5,0,0,370369,7.75,,Q,"Connors, Mr. Patrick"
118,0,2,male,29,1,0,11668,21,,S,"Turpin, Mr. William John Robert"
119,0,1,male,24,0,1,PC 17558,247.5208,B58 B60,C,"Baxter, Mr. Quigg Edmond"
120,0,3,female,2,4,2,347082,31.275,,S,"Andersson, Miss. Ellis Anna Maria"
121,0,2,male,21,2,0,S.O.C. 14879,73.5,,S,"Hickman, Mr. Stanley George"
122,0,3,male,,0,0,A4. 54510,8.05,,S,"Moore, Mr. Leonard Charles"
123,0,2,male,32.5,1,0,237736,30.0708,,C,"Nasser, Mr. Nicholas"
124,1,2,female,32.5,0,0,27267,13,E101,S,"Webber, Miss. Susan"
125,0,1,male,54,0,1,35281,77.2875,D26,S,"White, Mr. Percival Wayland"
126,1,3,male,12,1,0,2651,11.2417,,C,"Nicola-Yarred, Master. Elias"
127,0,3,male,,0,0,370372,7.75,,Q,"McMahon, Mr. Martin"
128,1,3,male,24,0,0,C 17369,7.1417,,S,"Madsen, Mr. Fridtjof Arne"
129,1,3,female,,1,1,2668,22.3583,F E69,C,"Peter, Miss. Anna"
130,0,3,male,45,0,0,347061,6.975,,S,"Ekstrom, Mr. Johan"
131,0,3,male,33,0,0,349241,7.8958,,C,"Drazenoic, Mr. Jozef"
132,0,3,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,"Coelho, Mr. Domingos Fernandeo"
133,0,3,female,47,1,0,A/5. 3337,14.5,,S,"Robins, Mrs. Alexander A (Grace Charity Laury)"
134,1,2,female,29,1,0,228414,26,,S,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
135,0,2,male,25,0,0,C.A. 29178,13,,S,"Sobey, Mr. Samuel James Hayden"
136,0,2,male,23,0,0,SC/PARIS 2133,15.0458,,C,"Richard, Mr. Emile"
137,1,1,female,19,0,2,11752,26.2833,D47,S,"Newsom, Miss. Helen Monypeny"
138,0,1,male,37,1,0,113803,53.1,C123,S,"Futrelle, Mr. Jacques Heath"
139,0,3,male,16,0,0,7534,9.2167,,S,"Osen, Mr. Olaf Elon"
140,0,1,male,24,0,0,PC 17593,79.2,B86,C,"Giglio, Mr. Victor"
141,0,3,female,,0,2,2678,15.2458,,C,"Boulos, Mrs. Joseph (Sultana)"
142,1,3,female,22,0,0,347081,7.75,,S,"Nysten, Miss. Anna Sofia"
143,1,3,female,24,1,0,STON/O2. 3101279,15.85,,S,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
144,0,3,male,19,0,0,365222,6.75,,Q,"Burke, Mr. Jeremiah"
145,0,2,male,18,0,0,231945,11.5,,S,"Andrew, Mr. Edgardo Samuel"
146,0,2,male,19,1,1,C.A. 33112,36.75,,S,"Nicholls, Mr. Joseph Charles"
147,1,3,male,27,0,0,350043,7.7958,,S,"Andersson, Mr. August Edvard (""Wennerstrom"")"
148,0,3,female,9,2,2,W./C. 6608,34.375,,S,"Ford, Miss. Robina Maggie ""Ruby"""
149,0,2,male,36.5,0,2,230080,26,F2,S,"Navratil, Mr. Michel (""Louis M Hoffman"")"
150,0,2,male,42,0,0,244310,13,,S,"Byles, Rev. Thomas Roussel Davids"
151,0,2,male,51,0,0,S.O.P. 1166,12.525,,S,"Bateman, Rev. Robert James"
152,1,1,female,22,1,0,113776,66.6,C2,S,"Pears, Mrs. Thomas (Edith Wearne)"
153,0,3,male,55.5,0,0,A.5. 11206,8.05,,S,"Meo, Mr. Alfonzo"
154,0,3,male,40.5,0,2,A/5. 851,14.5,,S,"van Billiard, Mr. Austin Blyler"
155,0,3,male,,0,0,Fa 265302,7.3125,,S,"Olsen, Mr. Ole Martin"
156,0,1,male,51,0,1,PC 17597,61.3792,,C,"Williams, Mr. Charles Duane"
157,1,3,female,16,0,0,35851,7.7333,,Q,"Gilnagh, Miss. Katherine ""Katie"""
158,0,3,male,30,0,0,SOTON/OQ 392090,8.05,,S,"Corn, Mr. Harry"
159,0,3,male,,0,0,315037,8.6625,,S,"Smiljanic, Mr. Mile"
160,0,3,male,,8,2,CA. 2343,69.55,,S,"Sage, Master. Thomas Henry"
161,0,3,male,44,0,1,371362,16.1,,S,"Cribb, Mr. John Hatfield"
162,1,2,female,40,0,0,C.A. 33595,15.75,,S,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
163,0,3,male,26,0,0,347068,7.775,,S,"Bengtsson, Mr. John Viktor"
164,0,3,male,17,0,0,315093,8.6625,,S,"Calic, Mr. Jovo"
165,0,3,male,1,4,1,3101295,39.6875,,S,"Panula, Master. Eino Viljami"
166,1,3,male,9,0,2,363291,20.525,,S,"Goldsmith, Master. Frank John William ""Frankie"""
167,1,1,female,,0,1,113505,55,E33,S,"Chibnall, Mrs. (Edith Martha Bowerman)"
168,0,3,female,45,1,4,347088,27.9,,S,"Skoog, Mrs. William (Anna Bernhardina Karlsson)"
169,0,1,male,,0,0,PC 17318,25.925,,S,"Baumann, Mr. John D"
170,0,3,male,28,0,0,1601,56.4958,,S,"Ling, Mr. Lee"
171,0,1,male,61,0,0,111240,33.5,B19,S,"Van der hoef, Mr. Wyckoff"
172,0,3,male,4,4,1,382652,29.125,,Q,"Rice, Master. Arthur"
173,1,3,female,1,1,1,347742,11.1333,,S,"Johnson, Miss. Eleanor Ileen"
174,0,3,male,21,0,0,STON/O 2. 3101280,7.925,,S,"Sivola, Mr. Antti Wilhelm"
175,0,1,male,56,0,0,17764,30.6958,A7,C,"Smith, Mr. James Clinch"
176,0,3,male,18,1,1,350404,7.8542,,S,"Klasen, Mr. Klas Albin"
177,0,3,male,,3,1,4133,25.4667,,S,"Lefebre, Master. Henry Forbes"
